iter	Logloss
0	0.6768260609
1	0.661943794
2	0.6475043095
3	0.6351966164
4	0.6244303848
5	0.6138771751
6	0.6049878207
7	0.5977632927
8	0.5902631355
9	0.5839745724
10	0.5770087965
11	0.5715311686
12	0.5665624445
13	0.5618287058
14	0.5579689257
15	0.5537841797
16	0.549440696
17	0.5459861987
18	0.5427433823
19	0.5391453598
20	0.536334321
21	0.5333000414
22	0.5305748217
23	0.5279092962
24	0.5259107185
25	0.5239429821
26	0.5216625792
27	0.5190372814
28	0.5170117927
29	0.5151497581
30	0.513375947
31	0.5105176521
32	0.5086794767
33	0.5068695068
34	0.5047563033
35	0.5036147147
36	0.5020349676
37	0.5003589977
38	0.4989200939
39	0.4975381562
40	0.4950055209
41	0.4934749719
42	0.4916441946
43	0.490620746
44	0.4889029763
45	0.4876743663
46	0.4862149325
47	0.4842425722
48	0.4832336888
49	0.481643908
50	0.4802409779
51	0.4793668805
52	0.4781666149
53	0.477051706
54	0.4761584658
55	0.4752348929
56	0.4736877441
57	0.472547219
58	0.47174641
59	0.4706051451
60	0.4694234212
61	0.4680910053
62	0.4669993083
63	0.4658175844
64	0.4648529515
65	0.4634144176
66	0.4620052453
67	0.4610264171
68	0.4599400376
69	0.4588310473
70	0.4575880571
71	0.455875651
72	0.4547980106
73	0.4533308549
74	0.4524138017
75	0.4515750769
76	0.4503390225
77	0.4491770426
78	0.448411745
79	0.4473848285
80	0.4462360729
81	0.4453692812
82	0.4444172252
83	0.443628762
84	0.4427762118
85	0.4417826335
86	0.4408217921
87	0.440015527
88	0.4395959103
89	0.4387301358
90	0.4381419789
91	0.4369743578
92	0.436149366
93	0.4351656827
94	0.4344951283
95	0.4329433094
96	0.4318621086
97	0.4312046398
98	0.4303215258
99	0.4294972738
100	0.4286303896
101	0.4274291067
102	0.4269040194
103	0.4258148656
104	0.4248584169
105	0.4241517038
106	0.4232240619
107	0.4229412194
108	0.421965258
109	0.4210942586
110	0.4204013709
111	0.4193912391
112	0.4188594009
113	0.4182797519
114	0.4176148386
115	0.4169552427
116	0.4162097353
117	0.4156673085
118	0.4151091605
119	0.4143765536
120	0.4133426551
121	0.4123794556
122	0.4113616019
123	0.4105273622
124	0.4102974632
125	0.4099092426
126	0.4094435721
127	0.4085798321
128	0.4082938454
129	0.4077992757
130	0.4069172715
131	0.4056912046
132	0.4048938636
133	0.4039842085
134	0.4031454375
135	0.4024536133
136	0.4018525557
137	0.4015062274
138	0.4009133079
139	0.4003002282
140	0.3998819062
141	0.3988111554
142	0.398018022
143	0.3973701246
144	0.3969477798
145	0.3957278165
146	0.3945896033
147	0.3932365186
148	0.3919746168
149	0.3912710479
