iter	Passed	Remaining
0	146	21796
1	151	11223
2	156	7681
3	161	5884
4	165	4813
5	169	4067
6	172	3531
7	177	3147
8	180	2822
9	182	2559
10	185	2346
11	188	2162
12	190	2006
13	192	1871
14	195	1756
15	196	1649
16	198	1556
17	200	1472
18	202	1397
19	205	1333
20	207	1271
21	208	1215
22	210	1163
23	212	1116
24	214	1072
25	216	1032
26	218	995
27	220	960
28	222	927
29	224	897
30	226	870
31	228	842
32	230	817
33	232	794
34	235	773
35	237	751
36	239	730
37	241	711
38	243	692
39	245	674
40	247	657
41	249	641
42	251	624
43	252	609
44	254	594
45	256	580
46	258	566
47	260	554
48	262	541
49	264	529
50	266	517
51	268	505
52	270	494
53	272	483
54	273	472
55	275	462
56	277	452
57	279	443
58	281	433
59	283	424
60	285	415
61	286	407
62	288	398
63	290	390
64	292	382
65	294	374
66	296	366
67	298	359
68	299	352
69	301	344
70	303	337
71	305	331
72	307	324
73	310	318
74	312	312
75	315	307
76	317	301
77	320	295
78	323	290
79	325	285
80	328	279
81	331	274
82	333	269
83	336	264
84	339	259
85	342	254
86	345	249
87	347	245
88	350	240
89	353	235
90	355	230
91	358	225
92	361	221
93	364	216
94	366	212
95	369	207
96	372	203
97	374	198
98	377	194
99	380	190
100	383	186
101	386	181
102	389	177
103	391	173
104	394	169
105	397	164
106	400	160
107	402	156
108	405	152
109	407	148
110	410	144
111	412	140
112	415	136
113	417	131
114	420	127
115	422	123
116	424	119
117	426	115
118	428	111
119	429	107
120	431	103
121	433	99
122	435	95
123	437	91
124	439	87
125	441	84
126	443	80
127	444	76
128	446	72
129	448	68
130	450	65
131	452	61
132	454	58
133	455	54
134	457	50
135	459	47
136	461	43
137	462	40
138	464	36
139	466	33
140	468	29
141	470	26
142	472	23
143	474	19
144	475	16
145	477	13
146	479	9
147	482	6
148	485	3
149	486	0
